painting,paintingLabel,depicted,depictedLabel,common,inception,countryLabel,iso
http://www.wikidata.org/entity/Q78782409,Still Life with a Green Pitcher,http://www.wikidata.org/entity/Q13222088,pomegranate,,1929-01-01T00:00:00Z,Poland,POL
http://www.wikidata.org/entity/Q79144447,Still-life with Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,,Germany,DEU
http://www.wikidata.org/entity/Q79136326,Bouquet of Flowers in a Blue Porcelain Vase,http://www.wikidata.org/entity/Q506,flower,,1776-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q76997874,"Still Life of Fruit in a Basket, a Pineapple Alongside and Wine Bottle and Glass Behind",http://www.wikidata.org/entity/Q503,banana,,1901-01-01T00:00:00Z,United Kingdom,GBR
http://www.wikidata.org/entity/Q77339768,Still life. Fruits and vegetables,http://www.wikidata.org/entity/Q13222088,pomegranate,,1933-01-01T00:00:00Z,Russia,RUS
http://www.wikidata.org/entity/Q76997874,"Still Life of Fruit in a Basket, a Pineapple Alongside and Wine Bottle and Glass Behind",http://www.wikidata.org/entity/Q10817602,pineapple,,1901-01-01T00:00:00Z,United Kingdom,GBR
http://www.wikidata.org/entity/Q77339768,Still life. Fruits and vegetables,http://www.wikidata.org/entity/Q11004,vegetable,,1933-01-01T00:00:00Z,Russia,RUS
http://www.wikidata.org/entity/Q78833054,Plums and almonds,http://www.wikidata.org/entity/Q184357,almond,,1775-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q76966164,Q76966164,http://www.wikidata.org/entity/Q886167,flowering plant,,1651-01-01T00:00:00Z,Belgium,BEL
http://www.wikidata.org/entity/Q78730855,Still Life,http://www.wikidata.org/entity/Q6453403,roemer,,1643-01-01T00:00:00Z,Belgium,BEL
http://www.wikidata.org/entity/Q76998021,"Still Life, Vase of Flowers",http://www.wikidata.org/entity/Q506,flower,,1920-01-01T00:00:00Z,United Kingdom,GBR
http://www.wikidata.org/entity/Q76998021,"Still Life, Vase of Flowers",http://www.wikidata.org/entity/Q1187930,bouquet,,1920-01-01T00:00:00Z,United Kingdom,GBR
http://www.wikidata.org/entity/Q80210339,Still Life with Fruit Basket,http://www.wikidata.org/entity/Q3314483,fruit,,1920-01-01T00:00:00Z,France,FRA
http://www.wikidata.org/entity/Q77975961,Still Life with Fruit,http://www.wikidata.org/entity/Q3314483,fruit,,,Malta,MLT
http://www.wikidata.org/entity/Q79137557,Fruit Still Life with Champagne Bottle,http://www.wikidata.org/entity/Q3314483,fruit,,1848-01-01T00:00:00Z,Germany,DEU
http://www.wikidata.org/entity/Q77339768,Still life. Fruits and vegetables,http://www.wikidata.org/entity/Q165308,pumpkin,,1933-01-01T00:00:00Z,Russia,RUS
http://www.wikidata.org/entity/Q77339768,Still life. Fruits and vegetables,http://www.wikidata.org/entity/Q5881191,melon,,1933-01-01T00:00:00Z,Russia,RUS
http://www.wikidata.org/entity/Q77972400,Still Life with Dead Birds,http://www.wikidata.org/entity/Q1965056,Kraak porcelain,,1650-01-01T00:00:00Z,Belgium,BEL
http://www.wikidata.org/entity/Q77962991,Still Life with Fruit and Flowers,http://www.wikidata.org/entity/Q3314483,fruit,,1940-01-01T00:00:00Z,Republic of Ireland,IRL
